anime_id;Name;Rating;Type;Genre;Studios;Producers;Licensors;Voice_Actors
33506;Ao no Exorcist: Kyoto Fujouou-hen (Blue Exorcist: Kyoto Saga);7.46;TV;['Action', 'Demons', 'Supernatural', 'Fantasy', 'Shounen'];['A-1 Pictures'];['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Shueisha'];['Aniplex of America'];['Okamoto, Nobuhiko', 'Fukuyama, Jun']
27601;Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars;7.47;Special;['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life'];['Kyoto Animation'];['Lantis'];['Sentai Filmworks'];['Uchida, Maaya', 'Uesaka, Sumire', 'Fukuyama, Jun', 'Akasaki, Chinatsu', 'Asakura, Azumi']
2673;Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai;7.47;Movie;['Adventure', 'Comedy', 'Fantasy'];['Shin-Ei Animation'];['TV Asahi'];[None];['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru']
1395;Future GPX Cyber Formula Sin;7.48;OVA;['Drama', 'Sci-Fi', 'Shounen', 'Sports'];['Sunrise'];[None];[None];['Kanemaru, Junichi', 'Seki, Toshihiko', 'Ono, Kenichi']
32071;Gantz:O;7.47;Movie;['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Ecchi', 'Seinen'];['Digital Frontier'];['Dentsu', 'Toho', 'Lawson HMV Entertainment', 'King Records', 'Fields', 'Kyoraku Industrial Holdings', 'Jinnan Studio'];[None];['Ono, Daisuke', 'Hayami, Saori', 'Ichimichi, Mao']
18465;Genshiken Nidaime (Genshiken Second Season);7.47;TV;['Slice of Life', 'Comedy', 'Parody'];['Production I.G'];['Starchild Records'];['NIS America, Inc.'];['Okitsu, Kazuyuki', 'Yamamoto, Nozomi', 'Oozora, Naomi', 'Yukana', 'Yamamoto, Kazutomi', 'Uesaka, Sumire', 'Uchiyama, Yumi']
31665;Hibike! Euphonium: Kakedasu Monaka;7.47;Special;['Drama', 'Music', 'School'];['Kyoto Animation'];['Lantis', 'Pony Canyon', 'Rakuonsha'];['Ponycan USA'];['Asai, Ayaka']
24703;High School DxD BorN;7.47;TV;['Action', 'Comedy', 'Demons', 'Ecchi', 'Harem', 'Romance', 'School'];['TNK'];['Genco', 'Lantis', 'AT-X', 'Fujimi Shobo'];['Funimation'];['Hikasa, Yoko', 'Itou, Shizuka', 'Kaji, Yuki', 'Taketatsu, Ayana', 'Taneda, Risa', 'Asakura, Azumi', 'Uchida, Maaya', 'Nojima, Kenji', 'Sakura, Ayane']
36824;Huyao Xiao Hongniang: Nan Guo (Fox Spirit Matchmaker 6th Season);7.48;ONA;['Comedy', 'Historical', 'Supernatural', 'Romance'];['Haoliners Animation League'];['Tencent Animation & Comics', 'bilibili', 'Tencent Penguin Pictures'];[None];[None, None, 'Uchida, Maaya', None]
38472;Isekai Quartet;7.47;TV;['Comedy', 'Fantasy', 'Parody'];['Studio PuYUKAI'];['Kadokawa'];['Funimation'];['Takahashi, Rie', 'Fukushima, Jun', 'Kobayashi, Yuusuke', 'Yuuki, Aoi', 'Hino, Satoshi', 'Amamiya, Sora', 'Hara, Yumi', 'Hayami, Saori']
